gene_id	GRCP	GLCP	IS_POSITIVE
ENSG00000155868	0.01229	0.01242	0
ENSG00000177839	0.1125	0.12	0
ENSG00000250509	0.01313	0.01345	1
ENSG00000113300	0.09865	0.09865	0
ENSG00000066230	0.04652	0.04652	0
ENSG00000214510	0.06491	0.06633	0
ENSG00000081818	0.9573	0.9604	1
ENSG00000150756	0.06154	0.06154	0
ENSG00000113269	0.06104	0.06111	0
ENSG00000276945	0.03086	0.03086	0
ENSG00000164346	0.01732	0.01736	0
ENSG00000253908	0.1255	0.1266	0
ENSG00000082196	0.1064	0.126	0
ENSG00000228716	0.05561	0.05567	1
ENSG00000276545	0.09436	0.1038	0
ENSG00000251400	0.01436	0.0164	1
ENSG00000230847	0.15	0.226	0
ENSG00000253485	0.096	0.096	1
ENSG00000213949	0.02384	0.0256	0
ENSG00000169862	0.01047	0.01057	0
ENSG00000172568	0.07605	0.07622	0
ENSG00000279799	0.05105	0.05166	0
ENSG00000248663	0.9579	0.9579	1
ENSG00000120318	0.04634	0.04682	0
ENSG00000146066	0.04647	0.04647	0
ENSG00000198237	0.0884	0.09419	0
ENSG00000074317	0.03286	0.03459	0
ENSG00000152700	0.07143	0.07241	0
ENSG00000283559	0.04595	0.04847	0
ENSG00000164332	0.03011	0.03011	0
ENSG00000272323	0.03648	0.03978	1
ENSG00000186493	0.1285	0.1295	0
ENSG00000113555	0.5769	0.6403	1
ENSG00000255883	0.6159	0.751	1
ENSG00000155511	0.05295	0.05398	0
ENSG00000164403	0.002158	0.002343	0
ENSG00000112964	0.04087	0.0415	0
ENSG00000249476	0.03686	0.03686	0
ENSG00000113119	0.2823	0.2852	0
ENSG00000249437	0.0007141	0.0007169	0
ENSG00000113580	0.1125	0.1125	0
ENSG00000272674	8.344e-05	0.0001204	0
ENSG00000243232	0.03466	0.03497	0
ENSG00000028310	0.1562	0.1562	0
ENSG00000242419	0.01708	0.01708	1
ENSG00000187372	0.07891	0.07898	0
ENSG00000113073	0.05617	0.05706	0
ENSG00000175426	0.001146	0.001146	0
ENSG00000249140	0.1119	0.1265	0
ENSG00000175309	0.02884	0.02939	0
ENSG00000254893	0.2117	0.2823	0
ENSG00000151422	0.9485	0.9992	1
ENSG00000132840	0.03806	0.03806	0
ENSG00000152409	0.1957	0.1957	0
ENSG00000135077	0.02051	0.02178	0
ENSG00000177453	0.325	0.3251	0
ENSG00000229666	0.9228	0.9228	1
ENSG00000181104	0.05409	0.05409	0
ENSG00000215630	0.04858	0.05285	0
ENSG00000113282	0.1182	0.1191	0
ENSG00000112996	0.1042	0.1212	1
ENSG00000113328	0.0645	0.06507	0
ENSG00000173926	0.02717	0.02995	0
ENSG00000249201	0.01538	0.01947	0
ENSG00000145916	0.01713	0.01817	0
ENSG00000254226	0.02261	0.02265	0
ENSG00000145700	0.1314	0.2038	0
ENSG00000197375	0.3775	0.4498	0
ENSG00000153015	0.9183	0.9414	1
ENSG00000249721	0.07154	0.0726	0
ENSG00000113532	0.02743	0.02753	0
ENSG00000113263	0.065	0.06501	0
ENSG00000112977	0.002555	0.003428	0
ENSG00000145555	0.09788	0.09928	0
ENSG00000039319	0.07815	0.07815	0
ENSG00000247199	0.001204	0.001205	0
ENSG00000182132	0.02464	0.02582	0
ENSG00000165810	0.9922	0.9922	1
ENSG00000152422	0.02286	0.0236	0
ENSG00000170606	0.06479	0.1052	0
ENSG00000281881	0.06588	0.06708	0
ENSG00000113303	0.1227	0.1231	0
ENSG00000177556	0.05165	0.05843	0
ENSG00000120137	0.1052	0.1082	0
ENSG00000211445	0.0174	0.01754	0
ENSG00000164221	0.03714	0.04062	0
ENSG00000145730	0.01478	0.01541	0
ENSG00000213328	0.06231	0.06632	0
ENSG00000039139	0.04949	0.0495	0
ENSG00000252464	0.03015	0.03311	0
ENSG00000213830	0.2275	0.228	0
ENSG00000064692	0.07209	0.07209	0
ENSG00000254192	0.02093	0.02167	0
ENSG00000244061	0.2147	0.2147	1
ENSG00000250848	0.07809	0.08609	0
ENSG00000249109	0.9311	0.9792	1
ENSG00000271862	0.05906	0.06017	0
ENSG00000176087	0.3594	0.3594	1
ENSG00000248734	0.3653	0.3653	1
ENSG00000120705	0.002607	0.00265	0
ENSG00000249593	0.06389	0.06391	0
ENSG00000158987	0.005048	0.005528	0
ENSG00000249352	0.06162	0.06408	0
ENSG00000113312	0.02852	0.02872	0
ENSG00000250722	0.09872	0.1013	1
ENSG00000123643	0.05361	0.05895	0
ENSG00000272417	0.3511	0.3511	1
ENSG00000253955	0.06702	0.06702	0
ENSG00000169302	0.6694	0.6694	1
ENSG00000170549	0.02495	0.02576	0
ENSG00000279923	0.1416	0.1416	0
ENSG00000168916	0.01647	0.01751	0
ENSG00000164334	0.01878	0.02086	0
ENSG00000270225	0.04293	0.06002	0
ENSG00000146090	0.01789	0.01848	0
ENSG00000248222	0.9962	0.997	1
ENSG00000151304	0.0007507	0.0009012	0
ENSG00000164587	0.02759	0.02778	0
ENSG00000198780	0.03769	0.03787	0
ENSG00000277039	0.001132	0.001273	0
ENSG00000272416	0.06698	0.06709	0
ENSG00000113763	0.03008	0.03008	0
ENSG00000248489	0.1066	0.218	0
ENSG00000202533	0.129	0.1346	1
ENSG00000053108	0.03147	0.03147	0
ENSG00000055163	0.01268	0.02531	0
ENSG00000274525	0.3227	0.3227	0
ENSG00000129595	0.004762	0.004762	1
ENSG00000256235	0.05941	0.0597	0
ENSG00000271980	0.03332	0.03456	0
ENSG00000215156	0.128	0.128	0
ENSG00000145725	0.09372	0.09529	0
ENSG00000072364	0.06856	0.07034	0
ENSG00000169045	0.02894	0.02903	0
ENSG00000250802	0.9125	0.9125	1
ENSG00000245060	0.138	0.138	0
ENSG00000145780	0.04744	0.04774	0
ENSG00000204962	0.2166	0.2166	0
ENSG00000197083	0.1845	0.2152	0
ENSG00000164463	0.09421	0.09718	0
ENSG00000113384	0.04372	0.04488	0
ENSG00000152942	0.03122	0.03218	0
ENSG00000204963	0.0127	0.01361	0
ENSG00000113048	0.9952	0.9952	1
ENSG00000165671	0.03819	0.03819	0
ENSG00000168246	0.0007868	0.0008313	1
ENSG00000228212	0.0865	0.0865	0
ENSG00000248483	0.04688	0.0469	0
ENSG00000113141	0.001015	0.001015	0
ENSG00000170214	0.02546	0.02549	0
ENSG00000271797	0.03275	0.03282	1
ENSG00000072786	0.02662	0.02662	0
ENSG00000169228	0.001255	0.001281	0
ENSG00000196923	0.02742	0.02769	0
ENSG00000113140	0.02968	0.03265	0
ENSG00000250182	0.07108	0.07374	0
ENSG00000249014	0.06921	0.07096	0
ENSG00000255622	0.05407	0.05573	0
ENSG00000118985	0.005746	0.006709	0
ENSG00000249751	0.02681	0.02681	0
ENSG00000181904	0.8721	0.9824	1
ENSG00000164296	0.001391	0.001392	0
ENSG00000255647	0.0852	0.0852	0
ENSG00000164611	0.05758	0.05779	0
ENSG00000188573	0.05405	0.06108	0
ENSG00000113441	0.05362	0.05387	0
ENSG00000154153	0.03695	0.04155	0
ENSG00000226432	0.1168	0.1896	0
ENSG00000158458	0.07806	0.07997	0
ENSG00000198939	0.01469	0.01623	0
ENSG00000276547	0.153	0.1785	0
ENSG00000112902	0.1164	0.1365	0
ENSG00000248445	0.07278	0.08596	0
ENSG00000120729	0.1182	0.1274	0
ENSG00000178338	0.05123	0.0601	0
ENSG00000247516	0.05615	0.05672	0
ENSG00000249363	0.01942	0.02335	0
ENSG00000164347	0.06849	0.06849	0
ENSG00000170231	0.06736	0.07476	0
ENSG00000224186	0.04988	0.04988	0
ENSG00000176788	0.008052	0.008184	1
ENSG00000131187	0.1313	0.1377	0
ENSG00000250629	0.04215	0.04215	0
ENSG00000250069	0.001113	0.001132	0
ENSG00000235558	0.9592	0.9643	1
ENSG00000281398	0.00219	0.002769	0
ENSG00000080709	0.1213	0.1234	0
ENSG00000113739	0.005663	0.005663	0
ENSG00000145860	0.4335	0.4996	1
ENSG00000164151	0.1761	0.1785	0
ENSG00000235172	0.0001138	0.0002407	0
ENSG00000215196	0.1066	0.1077	0
ENSG00000248275	0.5676	0.5719	1
ENSG00000131435	0.1127	0.1208	0
ENSG00000242110	0.03211	0.03215	0
ENSG00000214944	0.0006233	0.0006252	0
ENSG00000164219	0.06007	0.06007	0
ENSG00000182578	0.01649	0.01938	0
ENSG00000204970	0.1598	0.179	0
ENSG00000152495	0.3128	0.3136	1
